PLAYER,TEAM,AFFILIATION,YEAR,"ROUND
NUMBER","ROUND
PICK","OVERALL
PICK"
Hanno Mottola,Atlanta Hawks,Utah,2000,2,11,40
Chris Carrawell,San Antonio Spurs,Duke,2000,2,12,41
Olumide Oyedeji,Seattle SuperSonics,DJK Wurzburg (Germany),2000,2,13,42
Michael Redd,Milwaukee Bucks,Ohio State,2000,2,14,43
Brian Cardinal,Detroit Pistons,Purdue,2000,2,15,44
Jabari Smith,Sacramento Kings,Louisiana State,2000,2,16,45
DeeAndre Hulett,Toronto Raptors,Las Vegas Silver Bandits (IBL),2000,2,17,46
Josip Sesar,Seattle SuperSonics,KK Cibona (Croatia),2000,2,18,47
Mark Karcher,Philadelphia 76ers,Temple,2000,2,19,48
Jason Hart,Milwaukee Bucks,Syracuse,2000,2,20,49
Kaniel Dickens,Utah Jazz,Idaho,2000,2,21,50
Igor Rakocevic,Minnesota Timberwolves,Red Star Belgrade (Serbia),2000,2,22,51
Ernest Brown,Miami Heat,Indian Hills Community College,2000,2,23,52
Dan McClintock,Denver Nuggets,Northern Arizona,2000,2,24,53
Cory Hightower,San Antonio Spurs,Indian Hills Community College,2000,2,25,54
Chris Porter,Golden State Warriors,Auburn,2000,2,26,55
Jaquay Walls,Indiana Pacers,Colorado,2000,2,27,56
Scoonie Penn,Atlanta Hawks,Ohio State,2000,2,28,57
Pete Mickeal,Dallas Mavericks,Cincinnati,2000,2,29,58
